elapsed time,x-position,y-position,MAC address
4.900935,2.807434,-10.75402,6B:67:50:13:90:93
4.965264,3.930759,-9.51115,38:2E:A6:E1:11:B5
5.48764,5.489459,-3.494994,DF:F1:DF:42:F6:47
6.009387,14.4936,4.072294,21:24:9D:13:20:5C
6.279067,-2.575781,-5.67542,CB:5B:0D:59:A6:40
6.497342,9.885105,17.61335,E5:16:17:32:8A:25
6.684349,4.390375,8.472141,C0:B4:2D:75:46:D0
6.886768,4.527652,0.7606629,8F:A1:73:48:CD:94
6.903437,0.1965129,-11.74681,6B:67:50:13:90:93
6.974076,5.092714,-12.0688,38:2E:A6:E1:11:B5
7.501042,3.727087,-1.980756,DF:F1:DF:42:F6:47
8.023775,13.36175,1.489249,21:24:9D:13:20:5C
8.291489,-2.214111,-5.78975,CB:5B:0D:59:A6:40
8.497544,7.20717,16.79464,E5:16:17:32:8A:25
8.686664,2.379074,6.519496,C0:B4:2D:75:46:D0
8.789614,-9.895414,-2.093755,43:0D:FD:72:96:8C
8.897639,3.174445,-0.2256285,8F:A1:73:48:CD:94
8.914653,-2.427,-12.73828,6B:67:50:13:90:93
8.989877,6.252307,-14.64168,38:2E:A6:E1:11:B5
9.513906,1.564028,-1.308555,DF:F1:DF:42:F6:47
10.03953,12.22913,-1.095548,21:24:9D:13:20:5C
10.29738,-0.9609708,-8.018672,CB:5B:0D:59:A6:40
10.29738,5.207254,4.382525,88:F7:49:10:A0:4F
10.50439,4.520347,15.97324,E5:16:17:32:8A:25
10.69292,0.3638185,4.563008,C0:B4:2D:75:46:D0
10.8013,-7.598819,-0.4635479,43:0D:FD:72:96:8C
10.90635,1.806754,-1.966879,8F:A1:73:48:CD:94
10.92302,-5.066958,-13.31241,6B:67:50:13:90:93
11.00265,7.408205,-17.20636,38:2E:A6:E1:11:B5
11.52763,-0.3881477,0.4976809,DF:F1:DF:42:F6:47
12.05487,11.09674,-3.679812,21:24:9D:13:20:5C
12.30016,0.3858946,-10.47789,CB:5B:0D:59:A6:40
12.30016,2.854893,2.856683,88:F7:49:10:A0:4F
12.51817,1.824226,15.149,E5:16:17:32:8A:25
12.7054,-1.768968,3.091246,C0:B4:2D:75:46:D0
12.80909,-5.30766,1.163231,43:0D:FD:72:96:8C
12.9171,-0.06981315,-4.065211,8F:A1:73:48:CD:94
12.93377,-7.837683,-13.81003,6B:67:50:13:90:93
13.01109,7.460284,-18.82072,38:2E:A6:E1:11:B5
13.53623,-1.628123,1.887886,DF:F1:DF:42:F6:47
14.07144,9.963656,-6.265657,21:24:9D:13:20:5C
14.31552,1.741223,-12.95256,CB:5B:0D:59:A6:40
14.31552,0.4877496,1.321251,88:F7:49:10:A0:4F
14.52929,-0.8683187,14.32584,E5:16:17:32:8A:25
14.72165,-3.932746,3.043537,C0:B4:2D:75:46:D0
14.81368,-3.58326,1.564535,43:0D:FD:72:96:8C
14.92254,-1.941431,-6.158008,8F:A1:73:48:CD:94
14.93921,-10.60108,-14.30635,6B:67:50:13:90:93
15.02623,5.267072,-19.0216,38:2E:A6:E1:11:B5
15.54205,-3.027885,3.870606,DF:F1:DF:42:F6:47
16.0756,8.837552,-8.835584,21:24:9D:13:20:5C
16.32551,3.03357,-15.31183,CB:5B:0D:59:A6:40
16.32551,-1.873075,-0.2100803,88:F7:49:10:A0:4F
16.54096,-3.122625,13.56583,E5:16:17:32:8A:25
16.72341,-5.770296,1.365656,C0:B4:2D:75:46:D0
16.82173,-1.423956,2.767438,43:0D:FD:72:96:8C
16.93172,-3.816535,-8.254705,8F:A1:73:48:CD:94
16.94839,-13.36965,-14.80359,6B:67:50:13:90:93
17.03213,2.468063,-18.79385,38:2E:A6:E1:11:B5
17.55165,-4.849345,6.014835,DF:F1:DF:42:F6:47
18.08961,7.705912,-11.41815,21:24:9D:13:20:5C
18.3401,3.348102,-15.84593,CB:5B:0D:59:A6:40
18.3401,-4.239315,-1.744925,88:F7:49:10:A0:4F
18.54171,-2.901211,12.82575,E5:16:17:32:8A:25
18.7337,-7.42463,-0.9112,C0:B4:2D:75:46:D0
18.82529,0.7902813,4.489398,43:0D:FD:72:96:8C
18.94424,-5.694753,-10.35488,8F:A1:73:48:CD:94
18.97314,-16.15965,-15.30467,6B:67:50:13:90:93
19.04409,-0.3393995,-18.56539,38:2E:A6:E1:11:B5
19.55256,-6.662931,8.149793,DF:F1:DF:42:F6:47
20.09554,6.580406,-13.98671,21:24:9D:13:20:5C
20.35357,2.406269,-14.02553,CB:5B:0D:59:A6:40
20.35357,-6.604224,-3.278907,88:F7:49:10:A0:4F
20.55628,-0.4132812,12.07,E5:16:17:32:8A:25
20.74516,-9.079919,-3.18937,C0:B4:2D:75:46:D0
20.83414,3.010353,6.215894,43:0D:FD:72:96:8C
20.94758,-7.564406,-12.44548,8F:A1:73:48:CD:94
20.99306,-18.7668,-15.74313,6B:67:50:13:90:93
21.04818,-3.135879,-18.33782,38:2E:A6:E1:11:B5
21.5566,-8.303471,10.07037,DF:F1:DF:42:F6:47
22.09769,4.948627,-15.39247,21:24:9D:13:20:5C
22.36972,1.100251,-11.52323,CB:5B:0D:59:A6:40
22.36972,-8.844686,-4.811804,88:F7:49:10:A0:4F
22.56834,2.301133,11.31713,E5:16:17:32:8A:25
22.75532,-10.77763,-5.305232,C0:B4:2D:75:46:D0
22.84027,5.227421,7.940053,43:0D:FD:72:96:8C
22.95396,-9.436896,-14.53925,8F:A1:73:48:CD:94
